Titulo,Artista,Album,Género,Año,Ruta
Déjate Llevar,Juan Magan,Déjate Llevar,2017,(3)Dance,E:\Música\Pop en Español\01 Juan Magan - Déjate Llevar.mp3
La Plata,Juanes,La Plata,2019,(13)Pop,E:\Música\Pop en Español\01 Juanes - La Plata.mp3
Princesa,Ken-Y,Princesa,2013,None,E:\Música\Pop en Español\01 Ken-Y - Princesa.mp3
Échame La Culpa,Luis Fonsi,Échame La Culpa,2017,(13)Pop,E:\Música\Pop en Español\01 Luis Fonsi - Échame La Culpa.mp3
Bailarina,Maldita Nerea,Bailarina,2017,(13)Pop,E:\Música\Pop en Español\01 Maldita Nerea - Bailarina.mp3
Báilame,Nacho,Bailame,2017,Rap/Hip Hop,E:\Música\Pop en Español\01 Nacho - Báilame.mp3
Live It Up (Official Song 2018 FIFA World Cup Russia),Nicky Jam,Live It Up (Official Song 2018 FIFA World Cup Russia),2018,(13)Pop,E:\Música\Pop en Español\01 Nicky Jam - Live It Up (Official Song 2018 FIFA World Cup.mp3
Saturno,Pablo Alboran,Saturno,,(13)Pop,E:\Música\Pop en Español\01 Pablo Alboran - Saturno.mp3
Calma (Remix),Pedro Capó,Calma,2018,(13)Pop,E:\Música\Pop en Español\01 Pedro Capó - Calma (Remix).mp3
Calma,Pedro Capó,Calma,2018,(13)Pop,E:\Música\Pop en Español\01 Pedro Capó - Calma.mp3
La Vida Sin Ti,Piso 21,Ubuntu,2018,Rap/Hip Hop,E:\Música\Pop en Español\01 Piso 21 - La Vida Sin Ti.mp3
Tayrona,Sanalejo,Tayrona,2019,(13)Pop,E:\Música\Pop en Español\01 Sanalejo - Tayrona.mp3
Alguien Robo,Sebastian Yatra,Alguien Robó,2017,Rap/Hip Hop,E:\Música\Pop en Español\01 Sebastian Yatra - Alguien Robo.mp3
Devuélveme El Corazón,Sebastian Yatra,Devuélveme El Corazón,2017,(13)Pop,E:\Música\Pop en Español\01 Sebastian Yatra - Devuélveme El Corazón.mp3
No Hay Nadie Más,Sebastian Yatra,No Hay Nadie Más,2018,(13)Pop,E:\Música\Pop en Español\01 Sebastian Yatra - No Hay Nadie Más.mp3
SUTRA,Sebastian Yatra,SUTRA,2017,(13)Pop,E:\Música\Pop en Español\01 Sebastian Yatra - SUTRA.mp3
Un Año,Sebastian Yatra,Un Año,2019,(13)Pop,E:\Música\Pop en Español\01 Sebastian Yatra - Un Año.mp3
Ya No Tiene Novio,Sebastian Yatra,Ya No Tiene Novio,2018,(13)Pop,E:\Música\Pop en Español\01 Sebastian Yatra - Ya No Tiene Novio.mp3
No Me Acuerdo,Thalía,Valiente,2018,(13)Pop,E:\Música\Pop en Español\01 Thalía - No Me Acuerdo.mp3
Torero,Chayanne,Grandes Exitos,2002,(3)Dance,E:\Música\Pop en Español\02 Chayanne - Torero.mp3
Sobrenatural,Juan Magan,4.0,2019,(3)Dance,E:\Música\Pop en Español\02 Juan Magan - Sobrenatural.mp3
Give Me Everything,Pitbull,Planet Pit (Deluxe Version),2011,(13)Pop,E:\Música\Pop en Español\02 Pitbull - Give Me Everything.mp3
Wait On Me,Rixton,Let The Road,2014,(13)Pop,E:\Música\Pop en Español\02 Rixton - Wait On Me.mp3
Adicto a Ti,Bacilos,¿Dónde Nos Quedamos?,2018,(13)Pop,E:\Música\Pop en Español\03 Bacilos - Adicto a Ti.mp3
Yo Te Esperaré,Cali Y El Dandee,3 A.M.,2012,(13)Pop,E:\Música\Pop en Español\03 Cali Y El Dandee - Yo Te Esperaré.mp3
Rain Over Me,Pitbull,Planet Pit (Deluxe Version),2011,(13)Pop,E:\Música\Pop en Español\03 Pitbull - Rain Over Me.mp3
Limón y Sal,Julieta Venegas,Limon Y Sal,2006,(13)Pop,E:\Música\Pop en Español\04 Julieta Venegas - Limón y Sal.mp3
Imposible,Luis Fonsi,VIDA,2019,(13)Pop,E:\Música\Pop en Español\04 Luis Fonsi - Imposible.mp3
La Carretera,Prince Royce,FIVE (Deluxe Edition),2017,Lateinamerikanische Musik,E:\Música\Pop en Español\04 Prince Royce - La Carretera.mp3
Say My Name,David Guetta Feat. Bebe Rexha & J Balvin,7,2018,Miscellaneous,E:\Música\Pop en Español\05 David Guetta - Say My Name.mp3
El Amante,Nicky Jam,Fénix,2017,Rap/Hip Hop,E:\Música\Pop en Español\05 Nicky Jam - El Amante.mp3
Eres Mía,Romeo Santos,Fórmula  Vol. 2 (Deluxe Edition),2014,(13)Pop,E:\Música\Pop en Español\06 Romeo Santos - Eres Mía.mp3
Como El Viento,Juan Magan,The King Is Back (#LatinIBIZAte),2015,(3)Dance,E:\Música\Pop en Español\07 Juan Magan - Como El Viento.mp3
Monalisa,Alkilados,Pura Playa,2015,Lateinamerikanische Musik,E:\Música\Pop en Español\08 Alkilados - Monalisa.mp3
Hilito,Romeo Santos,Fórmula  Vol. 2 (Deluxe Edition) [Clean Version],2014,Latinalainen musiikki,E:\Música\Pop en Español\08 Romeo Santos - Hilito.mp3
Nada,Dread Mar I,En el Sendero,2014,(16)Reggae,E:\Música\Pop en Español\09 Dread Mar I - Nada.mp3
El Distractor,Esteman,1er Acto,2012,(13)Pop,E:\Música\Pop en Español\09 Esteman - El Distractor.mp3
Bella y Sensual,Romeo Santos,Golden,2017,Lateinamerikanische Musik,E:\Música\Pop en Español\10 Romeo Santos - Bella y Sensual.mp3
Solitaria,Alkilados,Pura Playa,2015,Lateinamerikanische Musik,E:\Música\Pop en Español\11 Alkilados - Solitaria.mp3
Gol,Cali Y El Dandee,3 A.M.,2012,Pop,E:\Música\Pop en Español\12 Cali Y El Dandee - Gol.mp3
Robarte un Beso,Carlos Vives,VIVES,2017,Lateinamerikanische Musik,E:\Música\Pop en Español\13 Carlos Vives - Robarte un Beso.mp3
Mayores,Becky G,MALA SANTA,2019,(13)Pop,E:\Música\Pop en Español\16 Becky G - Mayores.mp3
Hey DJ,CNCO,New Year's Eve - NYE 2018/2019,2018,(13)Pop,E:\Música\Pop en Español\20 CNCO - Hey DJ.mp3
El Perdón,Nicky Jam,Fénix,2017,Rap/Hip Hop,E:\Música\Pop en Español\21 Nicky Jam - El Perdón.mp3
Si Te Vas,Alvaro Soler,Si Te Vas,,,E:\Música\Pop en Español\Alvaro Soler - Si Te Vas.mp3
Sofia,Alvaro Soler,Divos a domicilio,,,E:\Música\Pop en Español\Alvaro Soler - Sofia(1).mp3
Te Voy a Olvidar,Anddy Caicedo,Gabaón,,,E:\Música\Pop en Español\Anddy Caicedo - Te Voy a Olvidar.mp3
Volví,Aventura  Bad Bunny,Volví,2021-08-03,Reggaeton,E:\Música\Pop en Español\Aventura - Volví.mp3
Llorar,Big Stan,Llorar,,,E:\Música\Pop en Español\Big Stan - Llorar.mp3
Gol,Cali Y El Dandee,3 A.M. (Deluxe),,,E:\Música\Pop en Español\Cali Y El Dandee - Gol.mp3
La Gota Fria,Carlos Vives,Clasicos de la Provincia,,,E:\Música\Pop en Español\Carlos Vives - La Gota Fria.mp3
Vida Ya No Es Vida,Corazon Serrano,Vida Ya No Es Vida,,,E:\Música\Pop en Español\Corazon Serrano - Vida Ya No Es Vida.mp3
No Bailes Sola,Danna Paola,No Bailes Sola,,,E:\Música\Pop en Español\Danna Paola - No Bailes Sola.mp3
Me Provocas,Dynoro,Me Provocas,,,E:\Música\Pop en Español\Dynoro - Me Provocas.mp3
Ojalá Pudiera,Homie!,Ojalá Pudiera,,,E:\Música\Pop en Español\Homie ! - Ojalá Pudiera.mp3
Nuestra Canción,Monsieur Perine,Monsieur Perine,,,E:\Música\Pop en Español\Nuestra Canción - Monsieur Perine.mp3.mp3
Despeinada,Ozuna,Despeinada,,,E:\Música\Pop en Español\Ozuna - Despeinada.mp3
Pareja Del Año,Sebastian Yatra,Pareja Del Año,,,E:\Música\Pop en Español\Sebastian Yatra - Pareja Del Año.mp3
Recuerdo,TINI,Recuerdo,2020-20-00,(13),E:\Música\Pop en Español\TINI - Recuerdo.mp3
Ciao Adios,Anne-Marie,Ciao Adios,2017,Elektro,E:\Música\Pop Inglés\01 Anne-Marie - Ciao Adios.mp3
I'm an Albatraoz,AronChupa,I'm an Albatraoz,2014,Elektro,E:\Música\Pop Inglés\01 AronChupa - I m an Albatraoz.mp3
Sweet but Psycho,Ava Max,Sweet but Psycho,2018,(13)Pop,E:\Música\Pop Inglés\01 Ava Max - Sweet but Psycho.mp3
Dreamer,Axwell,More Than You Know,2017,(3)Dance,E:\Música\Pop Inglés\01 Axwell _ Ingrosso - Dreamer.mp3
More Than You Know,Axwell /\ Ingrosso,More Than You Know,2017,(3)Dance,E:\Música\Pop Inglés\01 Axwell _ Ingrosso - More Than You Know.mp3
Hot2Touch,Felix Jaehn,Hot2Touch,2017,(3)Dance,E:\Música\Pop Inglés\01 Felix Jaehn - Hot2Touch.mp3
Like A Riddle,Felix Jaehn,Like A Riddle,2017,(3)Dance,E:\Música\Pop Inglés\01 Felix Jaehn - Like A Riddle.mp3
Bones (feat. OneRepublic),Galantis,Bones (feat. OneRepublic),2019,(3)Dance,E:\Música\Pop Inglés\01 Galantis - Bones (feat. OneRepublic).mp3
No Money,Galantis,No Money,2016,(3)Dance,E:\Música\Pop Inglés\01 Galantis - No Money.mp3
Runaway (U & I),Galantis,Runaway (U & I),2014,(3)Dance,E:\Música\Pop Inglés\01 Galantis - Runaway (U   I).mp3
No Sleep,Martin Garrix,No Sleep,2019,(159)Electro,E:\Música\Pop Inglés\01 Martin Garrix - No Sleep.mp3
Skin,Sabrina Carpenter,Skin,,,E:\Música\Pop Inglés\01 Skin - Sabrina Carpenter.mp3
Firework,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,2012,(13)Pop,E:\Música\Pop Inglés\04 Katy Perry - Firework.mp3
Poker Face,Lady Gaga,The Fame,2008,(13)Pop,E:\Música\Pop Inglés\04 Lady Gaga - Poker Face.mp3.mp3
Uptown Funk,Mark Ronson,Uptown Special,2015,(13)Pop,E:\Música\Pop Inglés\04 Mark Ronson - Uptown Funk.mp3
We Don't Talk Anymore,Charlie Puth,Nine Track Mind (Deluxe Edition),2016,(13)Pop,E:\Música\Pop Inglés\05 Charlie Puth - We Don't Talk Anymore.mp3
I Think I'm In Love,Kat Dahlia,My Garden,2015,(13)Pop,E:\Música\Pop Inglés\05 Kat Dahlia - I Think I'm In Love.mp3
Training Wheels,Melanie Martinez,Cry Baby (Deluxe),2015,(20)Alternative,E:\Música\Pop Inglés\07 Melanie Martinez - Training Wheels.mp3
FUCKBOY,Dixie,FUCKBOY,,,E:\Música\Pop Inglés\Dixie - FUCKBOY.mp3
Dynasty,Miia,Dynasty,2016,(13)Pop,E:\Música\Pop Inglés\Dynasty - Miia.mp3
Only A Fool (with Pink Sweat$),Galantis,Only A Fool (with Pink Sweat$),,,E:\Música\Pop Inglés\Galantis - Only A Fool (with Pink Sweat$).mp3
Back Up,Gian Varela  DISTO,Back Up,2020-12-16,Dance,E:\Música\Pop Inglés\Gian Varela  DISTO - Back Up.mp3
I Hate U I Love U,Gnash,I Hate U I Love U,2015,(13)Pop,E:\Música\Pop Inglés\I Hate U I Love U - Gnash.mp3
I Lost Myself,Munn,I Lost Myself,,,E:\Música\Pop Inglés\I Lost Myself - Munn.mp3
Savage Love (Laxed - Siren Beat),Jawsh 685,Savage Love (Laxed - Siren Beat),2020-20-00,Rap/Hip Hop,E:\Música\Pop Inglés\Jawsh 685 - Savage Love (Laxed - Siren Beat).mp3
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,,,E:\Música\Pop Inglés\Masked Wolf - Astronaut In The Ocean.mp3
Pacify Her,Melanie Martinez,Cry Baby,,,E:\Música\Pop Inglés\Melanie Martinez - Pacify Her.mp3
Happy (From "Despicable Me 2"),Pharrell Williams,G I R L,,,E:\Música\Pop Inglés\Pharrell Williams - Happy (From  Despicable Me 2 ).mp3
Waste It On Me,Steve Aoki,Waste It On Me (feat. BTS),,,E:\Música\Pop Inglés\Steve Aoki - Waste It On Me.mp3
Stay,The Kid Laroi,Stay,,,E:\Música\Pop Inglés\The Kid Laroi - Stay.mp3
Rescue Me,OneRepublic,Human,2019,Indie / Alternative,E:\Música\Pop Roman\01 OneRepublic - Rescue Me.mp3
r u ok,Tate McRae,r u ok,,,E:\Música\Pop Roman\01 r u ok - Tate McRae.mp3
Seasons (Rival|cadmium|harley Bird),Rival,Seasons,2018,(159)Electro,E:\Música\Pop Roman\01 Rival - Seasons (Rivalcadmiumharley Bird).mp3
If I Lose Myself,OneRepublic,Native,2014,(13)Pop,E:\Música\Pop Roman\03 If I Lose Myself - OneRepublic.mp3
Someone You Loved,Lewis Capaldi,Breach,2018,(20)Alternative,E:\Música\Pop Roman\03 Lewis Capaldi - Someone You Loved.mp3
Take Yours  I'll Take Mine,Matthew Mole,The Home We Built,2013,(13)Pop,E:\Música\Pop Roman\03 Matthew Mole - Take Yours  I'll Take Mine.mp3
Speechless (feat. Erika Sirola),Robin Schulz,Rather Be Alone,2019,(3)Dance,E:\Música\Pop Roman\03 Robin Schulz - Speechless (feat. Erika Sirola).mp3
Secrets,OneRepublic,Waking Up (International Deluxe Version),2010,(13)Pop,E:\Música\Pop Roman\03 Secrets - OneRepublic.mp3
The Scientist,Coldplay,A Rush of Blood to the Head,2002,(17)Rock,E:\Música\Pop Roman\04 Coldplay - The Scientist.mp3
This Town,Kygo,Stargazing - EP,2017,(13)Pop,E:\Música\Pop Roman\04 Kygo - This Town.mp3
Lose My Mind,Dean Lewis,Same Kind Of Different,2017,Singer & Songwriter,E:\Música\Pop Roman\04 Lose My Mind - Dean Lewis.mp3
Apologize,OneRepublic,Dreaming Out Loud,2007,(13)Pop,E:\Música\Pop Roman\04 OneRepublic - Apologize.mp3
I Feel The Love (Original Mix),Tritonal,Painting With Dreams,2016,(159)Electro,E:\Música\Pop Roman\04 Tritonal - I Feel The Love (Original Mix).mp3
Show Me Love (America),The Wanted,Word Of Mouth (Deluxe),2013,(13)Pop,E:\Música\Pop Roman\05 The Wanted - Show Me Love (America).mp3
On And On,The Score,ATLAS (Deluxe),2017,(20)Alternative,E:\Música\Pop Roman\23 The Score - On And On.mp3
Perfect Strangers,Jonas Blue,Shut Up Lets Dance,2017,(3)Dance,E:\Música\Pop Roman\29 Jonas Blue - Perfect Strangers.mp3
Lost,Maroon 5,JORDI (Deluxe),,,E:\Música\Pop Roman\Maroon 5 - Lost.mp3
Walls,Miles Away,Walls,,,E:\Música\Pop Roman\Miles Away - Walls.mp3
Nights With You,Nicky Romero,Nights With You,,,E:\Música\Pop Roman\Nicky Romero - Nights With You.mp3
deja vu,Olivia Rodrigo,SOUR,,,E:\Música\Pop Roman\Olivia Rodrigo - deja vu.mp3
drivers license,Olivia Rodrigo,SOUR,,,E:\Música\Pop Roman\Olivia Rodrigo - drivers license.mp3
favorite crime,Olivia Rodrigo,SOUR,,,E:\Música\Pop Roman\Olivia Rodrigo - favorite crime.mp3
Counting Stars,OneRepublic,Calm for Kids,,,E:\Música\Pop Roman\OneRepublic - Counting Stars.mp3
How to Be Me,REN,How to Be Me,,,E:\Música\Pop Roman\REN - How to Be Me.mp3
8 Legged Dreams,Unlike Pluto,8 Legged Dreams,,,E:\Música\Pop Roman\Unlike Pluto - 8 Legged Dreams.mp3
You & I,Geoxor,You & I,2016,Elektro,E:\Música\Private\01 Geoxor - You   I.mp3
Nana,Geoxor,Stardust,2019,,E:\Música\Private\06 Geoxor - Nana.mp3
KawaiiStep,Alex Skrindo,KawaiiStep,,,E:\Música\Private\Alex Skrindo - KawaiiStep.mp3
Tell Me,CrankDat,Monstercat Uncaged Vol. 10,2020-11-09,Electro,E:\Música\Private\CrankDat - Tell Me.flac
Aether,Geoxor,Aether,2021,,E:\Música\Private\Geoxor - Aether.mp3
Bloodlust,Geoxor,Bloodlust,2021,,E:\Música\Private\Geoxor - Bloodlust.mp3
Ephemeral,Geoxor,Ephemeral,2021,,E:\Música\Private\Geoxor - Ephemeral.mp3
Galaxy,Geoxor,Galaxy,2021,,E:\Música\Private\Geoxor - Galaxy.mp3
Gloom,Geoxor,Irreversible,2017,,E:\Música\Private\Geoxor - Gloom.mp3
Lollipop,Geoxor,Stardust,2019,,E:\Música\Private\Geoxor - Lollipop.mp3
Moneko,Geoxor,Moneko,2020,,E:\Música\Private\Geoxor - Moneko.mp3
Sakura,Geoxor,Sakura,2020,,E:\Música\Private\Geoxor - Sakura.mp3
Stardust,Geoxor,Stardust,2019,,E:\Música\Private\Geoxor - Stardust.mp3
Twilight,Geoxor,Twilight,2020,,E:\Música\Private\Geoxor - Twilight.mp3
Virtual,Geoxor,Virtual,2020,,E:\Música\Private\Geoxor - Virtual.mp3
Lucid Dream,Panda Eyes,Lucid Dream,,,E:\Música\Private\Panda Eyes - Lucid Dream.mp3
Andas En Mi Cabeza,Chino & Nacho,Andas En Mi Cabeza,2016,Rap/Hip Hop,E:\Música\Regguetón\01 Chino & Nacho - Andas En Mi Cabeza.mp3
Con Calma,Daddy Yankee,Con Calma,2019,Rap/Hip Hop,E:\Música\Regguetón\01 Daddy Yankee - Con Calma.mp3
Dura (Remix),Daddy Yankee,Dura (Remix),2018,Rap/Hip Hop,E:\Música\Regguetón\01 Daddy Yankee - Dura (Remix).mp3
Me Rehúso,Danny Ocean,Me Rehúso,2017,(13)Pop,E:\Música\Regguetón\01 Danny Ocean - Me Rehúso.mp3
Perdoname,Deorro,Perdoname,2014,(3)Dance,E:\Música\Regguetón\01 Deorro - Perdoname.mp3
Ayer La Vi,Don Omar,Ayer La Vi,2008,Lateinamerikanische Musik,E:\Música\Regguetón\01 Don Omar - Ayer La Vi.mp3
911,Feid,911,2017,Rap/Hip Hop,E:\Música\Regguetón\01 Feid - 911.mp3
Bonita,J Balvin,Bonita,2017,Rap/Hip Hop,E:\Música\Regguetón\01 J Balvin - Bonita.mp3
No Es Justo,J Balvin,No Es Justo,2018,Rap/Hip Hop,E:\Música\Regguetón\01 J Balvin - No Es Justo.mp3
Reggaeton,J Balvin,Reggaeton,2018,Rap/Hip Hop,E:\Música\Regguetón\01 J Balvin - Reggaeton.mp3
Déjate Querer,Lalo Ebratt,Déjate Querer,2019,Rap/Hip Hop,E:\Música\Regguetón\01 Lalo Ebratt - Déjate Querer.mp3
Adan y Eva,Paulo Londra,Adan y Eva,2018,Rap/Hip Hop,E:\Música\Regguetón\01 Paulo Londra - Adan y Eva.mp3
Blanco,J Balvin,Colores,2020-20-00,Género desconocido,E:\Música\Regguetón\J Balvin - Blanco.mp3
Morado,J Balvin,Colores,2020-20-00,Género desconocido,E:\Música\Regguetón\J Balvin - Morado.mp3
Otra Noche Sin Ti,J Balvin,Otra Noche Sin Ti,,,E:\Música\Regguetón\J Balvin - Otra Noche Sin Ti.mp3
Rojo,J Balvin,Colores,2020-20-00,Género desconocido,E:\Música\Regguetón\J Balvin - Rojo.mp3
Corazón De Papel,Leon Leiden,El Morro Que Hace Música,,,E:\Música\Regguetón\Leon Leiden - Corazón De Papel.mp3
Fondo de Bikini,Leon Leiden,Fondo de Bikini,,,E:\Música\Regguetón\Leon Leiden - Fondo de Bikini.mp3
Tattoo (Remix with Camilo),Rauw Alejandro,Tattoo (Remix with Camilo),,,E:\Música\Regguetón\Rauw Alejandro - Tattoo (Remix with Camilo).mp3
Relación,Sech,Relación,,,E:\Música\Regguetón\Sech - Relación.mp3
Agua (Music From "Sponge On The Run" Movie),Tainy,Agua (Music From "Sponge On The Run" Movie),,,E:\Música\Regguetón\Tainy - Agua (Music From Sponge On The Run Movie).mp3
Lejos de Ti,Gerardo Morán,Gerardo Moran Vuelve al Son de la Cumbia,2012,None,E:\Música\Regionales\01 Gerardo Morán - Lejos de Ti.mp3
Una Cerveza,Ráfaga,Una Cerveza,2016,Lateinamerikanische Musik,E:\Música\Regionales\01 Ráfaga - Una Cerveza.mp3
Soy Caporal,Tupay,Folklore,1998,Lateinamerikanische Musik,E:\Música\Regionales\01 Tupay - Soy Caporal.mp3
Nuestra Cancion,Elvis Crespo,Dos Clásicos,2011,Lateinamerikanische Musik,E:\Música\Regionales\02 Elvis Crespo - Nuestra Cancion.mp3
Daniela,Rodolfo Aicardi,De Peligro,2015,Lateinamerikanische Musik,E:\Música\Regionales\02 Rodolfo Aicardi - Daniela.mp3
Entregame Tu Amor,BANANAS,Grandes Exitos de Bananas  Siempre Presente,2016,Latinalainen musiikki,E:\Música\Regionales\03 BANANAS - Entregame Tu Amor.mp3
Vagabundo Soy,Rodolfo Aicardi,Muy Tropical y Bailable - 16 Exitos,2015,Lateinamerikanische Musik,E:\Música\Regionales\03 Rodolfo Aicardi - Vagabundo Soy.mp3
Carnavalera,Havana Delirio,Havana Delirio,2010,(13)Pop,E:\Música\Regionales\04 Havana Delirio - Carnavalera.mp3
Farolito (Little Star),Gloria Estefan,Abriendo Puertas,1995,(3)Dance,E:\Música\Regionales\05 Gloria Estefan - Farolito (Little Star).mp3
Cariñito,Rodolfo Aicardi,De Peligro,2015,Lateinamerikanische Musik,E:\Música\Regionales\05 Rodolfo Aicardi - Cariñito.mp3
Tabaco Y Ron,Rodolfo Y Su Tipica Ra7,Narcos  Vol. 1 (More Music from the Netflix Original Series),2016,Elokuvat/Pelit,E:\Música\Regionales\06 Rodolfo Y Su Tipica Ra7 - Tabaco Y Ron.mp3
El Lobo,Ilegales,Hits,2002,Lateinamerikanische Musik,E:\Música\Regionales\07 Ilegales - El Lobo.mp3
No Me Toquen Ese Vals,Julio Jaramillo,30 Mejores,2006,Bolero,E:\Música\Regionales\09 Julio Jaramillo - No Me Toquen Ese Vals.mp3
Donde Estarás Pequeña,Angel Guaraca,Angel Guaraca  Vol. 10,2015,Lateinamerikanische Musik,E:\Música\Regionales\11 Angel Guaraca - Donde Estarás Pequeña.mp3
El Preso,Fruko Y Sus Tesos,Narcos  Vol. 2 (More Music from the Netflix Original Series),2016,Filme/Videospiele,E:\Música\Regionales\11 Fruko Y Sus Tesos - El Preso.mp3
Senderito de Amor,Lizandro Meza,Cumbias Benditas  Vol. 1,2013,Latinalainen musiikki,E:\Música\Regionales\11 Lizandro Meza - Senderito de Amor.mp3
Tu Traición Se Acabó,Agua Marina,Tu Traición Se Acabó,2019-19-00,,E:\Música\Regionales\Agua Marina - Tu Traición Se Acabó.mp3
Ingrato Amor,Angel Guaraca,Ingrato Amor,,,E:\Música\Regionales\Angel Guaraca - Ingrato Amor.mp3
CORAZON CULPABLE,Armando Hernandez,Armando Hernández COLLECTION,,,E:\Música\Regionales\Armando Hernandez - CORAZON CULPABLE.mp3
A Gozar Todo el Mundo,Banda La Bocana,Las Canciones Mas Calientes del Caribe,,,E:\Música\Regionales\Banda La Bocana - A Gozar Todo el Mundo.mp3
Agua Dulce y Amor,Kalamarka,Kalamarka,2020-20-00,Andina,E:\Música\Regionales\Kalamarka - Agua Dulce y Amor.mp3
Cumbia del Amor,Lisandro Meza,Siguen los Éxitos,,,E:\Música\Regionales\Lisandro Meza - Cumbia del Amor.mp3
El Hombre Feliz,Lisandro Meza,La Cumbia Colombiana,,,E:\Música\Regionales\Lisandro Meza - El Hombre Feliz.mp3
Fiesta en Mi Pueblo,Los Hispanos,El Ritmo Inconfundible de Colombia,,,E:\Música\Regionales\Los Hispanos - Fiesta en Mi Pueblo.mp3
Cantares de Navidad,Rodolfo Aicardi,De Triunfo en Triunfo,,,E:\Música\Regionales\Rodolfo Aicardi - Cantares de Navidad.mp3
Limoncito Con Ron,Rodolfo Aicardi,Rescatando los Éxitos Originales de Rodolfo Aicardi,,,E:\Música\Regionales\Rodolfo Aicardi - Limoncito Con Ron.mp3
Mueve Mueve,SANDY & PAPO,Éxitos Gloriosos,,,E:\Música\Regionales\SANDY   PAPO - Mueve Mueve.mp3
Dancin (Krono Remix),Aaron Smith,Dancin (Krono Remix),2014,(159)Electro,E:\Música\Relax\01 Aaron Smith - Dancin (Krono Remix).mp3
Hear Me Now,Alok,Hear Me Now,2018,(3)Dance,E:\Música\Relax\01 Alok - Hear Me Now(1).mp3
Meant to Be,Arc North,Meant to Be,2016,(159)Electro,E:\Música\Relax\01 Arc North - Meant to Be.mp3
On & On,Cartoon,On & On,2015,Elektro,E:\Música\Relax\01 Cartoon - On   On.mp3
Awakening,Defqwop,Awakening,2018,(159)Electro,E:\Música\Relax\01 Defqwop - Awakening.mp3
Indecisive,Sumix,Indecisive,,,E:\Música\Relax\01 Indecisive - Sumix.mp3
No Way,JRL,No Way,2018,(13)Pop,E:\Música\Relax\01 Jrl - No Way.mp3
Skyline,Kovan,Skyline,2017,(159)Electro,E:\Música\Relax\01 Kovan - Skyline.mp3
Are You With Me,Lost Frequencies,Deep House Top 1000  Vol. 1 - Armada Music,2018,(159)Electro,E:\Música\Relax\01 Lost Frequencies - Are You With Me.mp3
Million Miles,Mark Sixma,Million Miles,2019,(3)Dance,E:\Música\Relax\01 Mark Sixma - Million Miles.mp3
Maybe,Janieck,Maybe,2018,(3)Dance,E:\Música\Relax\01 Maybe - Janieck.mp3
The Ocean,Mike Perry,The Ocean,2016,Elektro,E:\Música\Relax\01 Mike Perry - The Ocean.mp3
So Good,Mauvé,So Good,,,E:\Música\Relax\01 So Good - Mauvé.mp3
Closer,The Chainsmokers,Closer,2016,(3)Dance,E:\Música\Relax\01 The Chainsmokers - Closer.mp3
Takeaway,The Chainsmokers,World Wide Joy...Takeaway,2019,(3)Dance,E:\Música\Relax\01 The Chainsmokers - Takeaway.mp3
This Feeling,The Chainsmokers,Sick Boy,2018,(3)Dance,E:\Música\Relax\01 The Chainsmokers - This Feeling.mp3
Rivers,Thomas Jack,Rivers,2015,(3)Dance,E:\Música\Relax\01 Thomas Jack - Rivers.mp3
Without Ya,Munn,Without Ya,,,E:\Música\Relax\01 Without Ya - Munn.mp3
Sunrise,Kygo,Kids in Love,2017,Elektro,E:\Música\Relax\02 Kygo - Sunrise.mp3
Middle,DJ Snake,Encore,2016,(3)Dance,E:\Música\Relax\02 Middle - DJ Snake.mp3
Lily,Alan Walker,Different World,2018,(159)Electro,E:\Música\Relax\04 Alan Walker - Lily.mp3
The Way We Were,Bear Grillz,The Way We Were,,,E:\Música\Relax\Bear Grillz - The Way We Were.mp3
Here Comes the Sun,Mauvé,Here Comes the Sun,2019,(159)Electro,E:\Música\Relax\Here Comes the Sun - Mauvé.mp3
Dreaming of Me,Jack Shore,Dreaming of Me,,,E:\Música\Relax\Jack Shore - Dreaming of Me.mp3.mp3
Will I Find My Home (Acoustic Version),Juniper Vale,Everything is Color,,,E:\Música\Relax\Juniper Vale - Will I Find My Home (Acoustic Version).mp3
Looking for More,Koven,Looking for More,,,E:\Música\Relax\Koven - Looking for More.mp3.mp3
Paula,KSHMR,Harmonica Andromeda,,,E:\Música\Relax\KSHMR - Paula.mp3
Melody (ANGEMI Remix),Lost Frequencies,Melody (Remixes  Pt. 1),2018-18-00,Dance/Elektro,E:\Música\Relax\Lost Frequencies - Melody (ANGEMI Remix).mp3
Sou Favela,MC Bruninho,Sou Favela,,,E:\Música\Relax\MC Bruninho - Sou Favela.mp3
Overboard,Rogerseventytwo,Overboard,2021,Electro,E:\Música\Relax\Rogerseventytwo - Overboard.mp3
Perfect Day,Tundra Beats,Perfect Day,,,E:\Música\Relax\Tundra Beats - Perfect Day.mp3
GLOW,CORSAK,GLOW,2019,Elektro,E:\Música\Sad\01 CORSAK - GLOW.mp3
Flutter,Diamond Eyes,Flutter,2018,Elektro,E:\Música\Sad\01 Diamond Eyes - Flutter.mp3
Far Away,Different Heaven,Far Away,2016,(159)Electro,E:\Música\Sad\01 Different Heaven - Far Away.mp3
Welcome,Fort Minor,Welcome,2015,Vaihtoehtoinen,E:\Música\Sad\01 Fort Minor - Welcome.mp3
Blink 182,Half an Orange,Blink 182,2019,(159)Electro,E:\Música\Sad\01 Half an Orange - Blink 182.mp3
